trust_code,trust_name,available_beds,occupied_beds
RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST,79.83333333333333,41.888888888888886
RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0.0,0.0
RYG,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,0.0,0.0
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,1038.7222222222222,1008.3555555555556
RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,1828.0,1753.7444444444443
RYW,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,265.05555555555554,193.7888888888889
RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,0.0,0.0
TAD,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,0.0,0.0
TAH,SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST,0.0,0.0
TAJ,BLACK COUNTRY HEALTHCARE NHS FOUNDATION TRUST,0.0,0.0
