trust_code,trust_name,provider_type_source,backlog_maintenance_cost,floor_area_m2
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ACUTE - MULTI-SERVICE,43987084.0,158141.0
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ACUTE - MULTI-SERVICE,259418542.0,178472.0
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ACUTE - LARGE,44552456.0,202551.0
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,21366425.0,86274.0
RXV,GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,29860814.0,117966.0
RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,ACUTE - MEDIUM,55476305.0,123212.0
RXX,SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,26334430.0,52763.0
RXY,KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST,MENTAL HEALTH AND LEARNING DISABILITY,16951819.0,63415.0
RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,COMMUNITY,350000.0,22182.0
RY3,NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST,COMMUNITY,30112681.0,43576.0
RY4,HERTFORDSHIRE COMMUNITY NHS TRUST,COMMUNITY,10685404.0,21485.0
RY5,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,COMMUNITY,548223.0,19866.0
RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST,COMMUNITY,5375650.0,27660.0
RY7,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,COMMUNITY,395542.0,13447.0
RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,COMMUNITY,22534386.0,59851.0
RY9,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST,COMMUNITY,5113882.0,9430.0
RYA,WEST MIDLANDS AMBULANCE SERVICE UNIVERSITY NHS FOUNDATION TRUST,AMBULANCE,413600.0,61634.0
RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,AMBULANCE,15294823.0,68618.0
RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,AMBULANCE,7319400.0,43890.0
RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,AMBULANCE,59130974.0,42099.0
RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,AMBULANCE,15686086.0,55436.0
RYG,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,MENTAL HEALTH AND LEARNING DISABILITY,58408361.0,64716.0
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ACUTE - TEACHING,901856265.0,283605.0
RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,ACUTE - TEACHING,186407223.0,359520.0
RYV,CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST,COMMUNITY,9678418.0,31312.0
RYW,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,COMMUNITY,7442674.0,71734.0
RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,COMMUNITY,5987445.0,49651.0
RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,COMMUNITY,28743109.0,50148.0
TAD,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,CARE TRUST,59827303.0,34378.0
TAH,SHEFFIELD HEALTH AND SOCIAL CARE NHS FOUNDATION TRUST,CARE TRUST,19417645.0,39939.0
TAJ,BLACK COUNTRY HEALTHCARE NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,10720923.0,65813.0
