trust_code,trust_name,baseline_score,baseline_rank,no_estates_score,no_estates_rank,no_estates_rank_movement,percentile_score,percentile_rank,percentile_rank_movement,complete_case_score,complete_case_rank,complete_case_rank_movement,baseline_top_decile_flag,no_estates_top_decile_flag,percentile_top_decile_flag,complete_case_top_decile_flag
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,-0.2971483891227957,92,-0.42690797527452257,98,6,42.45846918180406,87,-5,-0.30038110389942824,91,-1,False,False,False,False
RFR,THE ROTHERHAM NHS FOUNDATION TRUST,-0.3056587616669496,93,-0.20405593405720995,80,-13,36.59757801583604,99,6,-0.30923972819940954,92,-1,False,False,False,False
RH5,SOMERSET NHS FOUNDATION TRUST,-0.3237908832511091,94,-0.4361245714912726,99,5,40.66526936811054,92,-2,-0.32644868137394556,93,-1,False,False,False,False
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,-0.3247624413019374,95,-0.25710768023091757,85,-10,35.140764891579984,101,6,-0.3281727209968239,94,-1,False,False,False,False
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,-0.335443644158077,96,-0.41659566368279827,97,1,47.03203436319412,75,-21,-0.3384070072835123,95,-1,False,False,False,False
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,-0.3520399159130808,97,-0.7201006477101835,106,9,38.63401128189204,96,-1,-0.3538698069717498,96,-1,False,False,False,False
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,-0.3578442569852562,98,-0.35725196332811415,92,-6,40.511307767944935,93,-5,-0.3596480954275551,97,-1,False,False,False,False
RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,-0.3944121337897319,99,-0.44381677288226895,100,1,38.4257102934327,97,-2,-0.3968024378515362,98,-1,False,False,False,False
RXF,MID YORKSHIRE TEACHING NHS TRUST,-0.3967938299408566,100,-0.3439856170698373,91,-9,34.140661387983236,104,4,-0.39905834730318723,99,-1,False,False,False,False
RR8,LEEDS TEACHING HOSPITALS NHS TRUST,-0.4487665173840724,101,-0.489881375302185,102,1,34.769445738239405,102,1,-0.4514897980876969,100,-1,False,False,False,False
RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,-0.4506330340577472,102,-0.37498427843843607,94,-8,33.70982766651141,105,3,-0.45250791035144977,101,-1,False,False,False,False
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,-0.5058141573501646,103,-0.45558959387723474,101,-2,30.92428711897739,107,4,-0.5078688876543197,102,-1,False,False,False,False
RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,-0.5549155034227368,104,-0.7714801680721521,108,4,46.20918076903172,78,-26,-0.5539939205461193,103,-1,False,False,False,False
RLT,GEORGE ELIOT HOSPITAL NHS TRUST,-0.5552303119788199,105,-0.5240455625793737,103,-2,34.43176525384256,103,-2,-0.5560517047746593,104,-1,False,False,False,False
RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,-0.5582086637070017,106,-0.5460396070162835,104,-2,30.457227138643066,108,2,-0.5575118746238683,105,-1,False,False,False,False
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,-0.5599915403771383,107,-0.7056786566083303,105,-2,37.760699684314034,98,-9,-0.5627419321584736,106,-1,False,False,False,False
RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,-0.6551561860152327,108,-0.7408179373801942,107,-1,29.73451327433628,110,2,,,,False,False,False,
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,-0.7822381648755319,109,-0.8577150724067575,109,0,29.158256999430733,112,3,-0.7830472180991305,107,-2,False,False,False,False
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,-0.8141896834328591,110,-1.09446049272988,112,2,29.54251410236506,111,1,-0.8146113402742493,108,-2,False,False,False,False
RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,-0.8372766416567131,111,-0.9639200965120966,110,-1,25.24582104228122,113,2,-0.8377368592958926,109,-2,False,False,False,False
RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,-0.9032581156766052,112,-1.2205215958929498,114,2,30.331729027583705,109,-3,-0.9017874019179769,110,-2,False,False,False,False
RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,-0.950947711882768,113,-1.0208226821559414,111,-2,32.64503441494592,106,-7,-0.9488952792503333,111,-2,False,False,False,False
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,-1.0602343664695193,114,-1.1472058920793144,113,-1,19.198623402163225,114,0,-1.0586004876218478,112,-2,False,False,False,False
